country,year,per_cap_ppp,life_exp,joined_NATO,NATO,iso_a3
Albania,1961,2690,63.3,2009,Yes,ALB
Belarus,1961,5490,71.5,NA,No,BLR
Belgium,1961,13400,70.4,1949,Yes,BEL
Bulgaria,1961,5670,70.3,2004,Yes,BGR
Croatia,1961,6220,66,2009,Yes,HRV
Czech Republic,1961,9690,70.7,1999,Yes,CZE
Denmark,1961,17200,72.6,1949,Yes,DNK
Estonia,1961,7780,69.6,2004,Yes,EST
France,1961,14200,71.3,1949,Yes,FRA
Germany,1961,14700,69.8,1955,Yes,DEU
Greece,1961,6290,72.4,1952,Yes,GRC
Hungary,1961,7000,68.8,1999,Yes,HUN
Iceland,1961,12400,73.4,1949,Yes,ISL
Italy,1961,11800,70.2,1949,Yes,ITA
Latvia,1961,8120,70.4,2004,Yes,LVA
Lithuania,1961,9760,70.6,2004,Yes,LTU
Luxembourg,1961,19200,69.1,1949,Yes,LUX
Montenegro,1961,3360,71.2,2017,Yes,MNE
Netherlands,1961,15100,73.6,1949,Yes,NLD
North Macedonia,1961,4190,59.3,2020,Yes,MKD
Norway,1961,14000,73.4,1949,Yes,NOR
Poland,1961,6330,68.1,1999,Yes,POL
Portugal,1961,5760,63.6,1949,Yes,PRT
Romania,1961,2060,66.3,2004,Yes,ROU
Russia,1961,6870,69.3,NA,No,RUS
Slovak Republic,1961,9780,70.8,2004,Yes,SVK
Slovenia,1961,8940,66.3,2004,Yes,SVN
Spain,1961,6480,69.7,1982,Yes,ESP
Turkey,1961,3510,50.3,1952,Yes,TUR
Ukraine,1961,6760,71.1,NA,No,UKR
United Kingdom,1961,16200,71.1,1949,Yes,GBR
Albania,1991,3510,72.6,2009,Yes,ALB
Belarus,1991,8780,70.8,NA,No,BLR
Belgium,1991,36100,76.4,1949,Yes,BEL
Bulgaria,1991,11200,70.1,2004,Yes,BGR
Croatia,1991,14800,72,2009,Yes,HRV
Czech Republic,1991,21000,72.1,1999,Yes,CZE
Denmark,1991,39600,75.4,1949,Yes,DNK
Estonia,1991,15100,69.5,2004,Yes,EST
France,1991,34000,77.4,1949,Yes,FRA
Germany,1991,38400,75.8,1955,Yes,DEU
Greece,1991,25000,77.3,1952,Yes,GRC
Hungary,1991,16500,69.5,1999,Yes,HUN
Iceland,1991,33700,78.2,1949,Yes,ISL
Italy,1991,37200,77.3,1949,Yes,ITA
Latvia,1991,15200,69.4,2004,Yes,LVA
Lithuania,1991,16500,70.5,2004,Yes,LTU
Luxembourg,1991,72700,75.5,1949,Yes,LUX
Montenegro,1991,13400,75,2017,Yes,MNE
Netherlands,1991,37200,77.3,1949,Yes,NLD
North Macedonia,1991,10700,70.8,2020,Yes,MKD
Norway,1991,43400,77.2,1949,Yes,NOR
Poland,1991,10500,70.8,1999,Yes,POL
Portugal,1991,24700,74.3,1949,Yes,PRT
Romania,1991,11700,70.3,2004,Yes,ROU
Russia,1991,20400,69.3,NA,No,RUS
Slovak Republic,1991,12500,71.3,2004,Yes,SVK
Slovenia,1991,20100,74.2,2004,Yes,SVN
Spain,1991,28300,77.1,1982,Yes,ESP
Turkey,1991,12500,69.3,1952,Yes,TUR
Ukraine,1991,14400,69.9,NA,No,UKR
United Kingdom,1991,30200,76.1,1949,Yes,GBR
Albania,2021,13900,78.7,2009,Yes,ALB
Belarus,2021,19100,74.3,NA,No,BLR
Belgium,2021,50100,81.7,1949,Yes,BEL
Bulgaria,2021,23600,73.6,2004,Yes,BGR
Croatia,2021,27800,79,2009,Yes,HRV
Czech Republic,2021,39900,79.7,1999,Yes,CZE
Denmark,2021,57100,81.4,1949,Yes,DNK
Estonia,2021,37000,78.3,2004,Yes,EST
France,2021,44600,83.1,1949,Yes,FRA
Germany,2021,52900,81.5,1955,Yes,DEU
Greece,2021,29200,81.3,1952,Yes,GRC
Hungary,2021,32400,76.9,1999,Yes,HUN
Iceland,2021,51900,84.4,1949,Yes,ISL
Italy,2021,40400,83.4,1949,Yes,ITA
Latvia,2021,31300,76.1,2004,Yes,LVA
Lithuania,2021,38100,76.5,2004,Yes,LTU
Luxembourg,2021,113000,83.2,1949,Yes,LUX
Montenegro,2021,19900,76.1,2017,Yes,MNE
Netherlands,2021,56000,82,1949,Yes,NLD
North Macedonia,2021,16500,74.6,2020,Yes,MKD
Norway,2021,66200,83.2,1949,Yes,NOR
Poland,2021,33500,78.4,1999,Yes,POL
Portugal,2021,33600,82.1,1949,Yes,PRT
Romania,2021,30700,75.8,2004,Yes,ROU
Russia,2021,27200,73.3,NA,No,RUS
Slovak Republic,2021,31600,77.8,2004,Yes,SVK
Slovenia,2021,37800,81.7,2004,Yes,SVN
Spain,2021,38800,83.3,1982,Yes,ESP
Turkey,2021,29800,78.9,1952,Yes,TUR
Ukraine,2021,12900,74.1,NA,No,UKR
United Kingdom,2021,43900,81.3,1949,Yes,GBR
